1 input_2_1 AGM6 Test Case.asc  ' AGM6 ' Feb 17 2025 12:34:49
  0  0 69
time,lconv,vmach,pdynmc,VAEL1,VAEL2,VAEL3,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,vmass,thrust,fmasse,stmarg,realq1,realq2,wnq,zetq,gavail,gmax,trcond,epy,epz,thtpb,psipb,ththb,phihb,sigdpy,sigdpz,ancomx,alcomx,all,ann,psiobcx,thtobcx,wacl,phicomx,dpcx,dqcx,drcx,qqcomx,rrcomx,dpx,dqx,drx,miss,MISS_P1,MISS_P2,MISS_P3,dbt,psiplx,thtplx,critmax,
89.5,0,1.18365,70798.1,-3.64676,10.1115,0.136252,30.7159,-45.9049,-0.0581167,1.23891,-17.1076,1.18342,-0.36421,0.285984,-0.119945,0.294673,31900.2,8821.07,-1965.84,397.463,1965.84,32.425,-46.8465,0.342881,0.112665,1110,0,250.005,0.695439,0,0,5.48324,0.0646897,2.5819,3,0,-0.000202159,0.000118853,-0.0373922,0.0326612,0.0494247,2.4241,-0.00199822,0.00119694,0.416145,0.120283,0.120283,0.416145,4.17957,-11.3943,2,0,0.000296822,-0.604011,-0.245248,0,0,0.000298516,-0.601354,-0.245233,0,0,0,0,2511.7,0,0,100,
89.6,0,1.18322,71022,-3.59951,10.0715,0.060353,30.7583,-45.9178,-0.0596446,1.26751,-16.6797,1.21381,-0.363659,0.29254,-0.1219,0.296181,31923.2,8835.64,-1936.84,397.413,1936.84,32.4501,-46.8956,0.35119,0.112801,1110,0,250.005,0.696374,0,0,5.49903,0.0647753,2.57086,3,0,9.44098e-05,0.000140188,-0.0372684,0.0322902,0.0481915,2.42688,-0.000456055,0.00130321,0.60308,0.133318,0.133318,0.60308,4.17957,-11.3943,2,0,0.000281943,-0.639753,-0.246777,0,0,0.000285474,-0.632756,-0.246438,0,0,0,0,2472.28,0,0,100,
89.7,0,1.18282,71248.3,-3.73914,9.79039,0.235471,30.8013,-45.9266,-0.0610224,1.299,-16.2532,1.24573,-0.363137,0.297996,-0.0624029,0.301509,31946.1,8850.21,-1907.81,397.362,1907.81,32.4751,-46.9434,0.362717,0.113222,1110,0,250.005,0.697366,0,0,5.5154,0.0648592,2.55876,3,0,-0.000609803,8.55392e-05,-0.0372825,0.0319072,0.0478241,2.43392,-0.00182759,0.00118826,0.437552,0.119669,0.119669,0.437552,4.17957,-11.3943,2,0,0.000273612,-0.643447,-0.24622,0,0,0.000274724,-0.640294,-0.246213,0,0,0,0,2432.86,0,0,100,
89.8,0,1.18242,71476.5,-3.61196,9.85739,0.0244727,30.8447,-45.9331,-0.0621532,1.32786,-15.8456,1.2771,-0.362446,0.302908,-0.067579,0.302118,31968.9,8864.78,-1878.77,397.308,1878.77,32.5002,-46.9896,0.372543,0.11332,1110,0,250.005,0.698271,0,0,5.53117,0.064945,2.54747,3,0,-0.00049042,9.29864e-05,-0.0373307,0.0315186,0.0487313,2.43878,-0.00265918,0.00111301,0.336269,0.110813,0.110813,0.336269,4.17957,-11.3943,2,0,0.000262666,-0.660388,-0.246252,0,0,0.000265738,-0.657839,-0.246342,0,0,0,0,2393.44,0,0,100,
89.9,0,1.18204,71706.3,-3.69916,9.65041,0.104382,30.8882,-45.9402,-0.062894,1.35506,-15.4753,1.30546,-0.361395,0.306956,-0.0907844,0.301143,31991.8,8879.34,-1849.71,397.252,1849.71,32.5253,-47.0343,0.383354,0.113537,1110,0,250.005,0.699117,0,0,5.54656,0.065032,2.53668,3,0,-0.000383951,9.52983e-05,-0.0374334,0.0311228,0.0484491,2.44903,-0.000553321,0.0012657,0.590518,0.129454,0.129454,0.590518,4.17957,-11.3943,2,0,0.000247613,-0.663489,-0.245057,0,0,0.000251668,-0.658995,-0.245053,0,0,0,0,2354.03,0,0,100,
90,0,1.18166,71937.4,-3.60341,9.67208,-0.0757396,30.9314,-45.9507,-0.0631055,1.37668,-15.1546,1.32844,-0.359762,0.309759,-0.0932063,0.301815,32014.6,8893.89,-1820.63,397.194,1820.63,32.5503,-47.0778,0.388795,0.113211,1110,0,250.005,0.699809,0,0,5.56078,0.0651226,2.52773,3,0,-0.000356539,9.8119e-05,-0.0372944,0.0307453,0.0472798,2.45246,-0.00107273,0.00122946,0.528514,0.125284,0.125284,0.528514,4.17957,-11.3943,2,0,0.00022781,-0.703573,-0.247003,0,0,0.000231172,-0.69714,-0.246707,0,0,0,0,2314.63,0,0,100,
90.1,0,1.1813,72169.4,-3.83267,9.29232,0.184353,30.9755,-45.9557,-0.0637155,1.40257,-14.8144,1.35507,-0.358351,0.311639,-0.0196067,0.309833,32037.4,8908.44,-1791.54,397.133,1791.54,32.5753,-47.1205,0.398931,0.113306,1110,0,250.005,0.700598,0,0,5.57584,0.0652107,2.51726,3,0,-0.000369833,9.53749e-05,-0.0373427,0.0303485,0.0471477,2.4585,-0.00268913,0.00105759,0.333406,0.104785,0.104785,0.333406,4.17957,-11.3943,2,0,0.000231227,-0.703371,-0.245279,0,0,0.000228833,-0.701386,-0.24544,0,0,0,0,2275.23,0,0,100,
90.2,0,1.18093,72402.1,-3.83337,9.19278,0.126386,31.0202,-45.9575,-0.0645472,1.42877,-14.4745,1.38287,-0.35694,0.314167,-0.0155686,0.311484,32060.1,8922.99,-1762.43,397.071,1762.43,32.6003,-47.1616,0.407713,0.113174,1110,0,250.005,0.701385,0,0,5.59092,0.0652987,2.50662,3,0,-8.54296e-05,0.000124731,-0.0373622,0.0299524,0.0471268,2.46353,-3.68307e-05,0.00132133,0.653331,0.136809,0.136809,0.653331,4.17957,-11.3943,2,0,0.000235369,-0.737024,-0.246799,0,0,0.000235541,-0.72253,-0.245709,0,0,0,0,2235.83,0,0,100,
90.3,0,1.18057,72635.1,-3.87641,9.03982,0.122833,31.0657,-45.9545,-0.0657351,1.45839,-14.1259,1.41376,-0.35575,0.317178,0.0620369,0.320781,32082.9,8937.54,-1733.31,397.005,1733.31,32.6252,-47.2015,0.419062,0.113306,1110,0,250.005,0.702245,0,0,5.60661,0.0653847,2.49473,3,0,3.82666e-05,0.000134191,-0.037581,0.0295318,0.0475289,2.47671,-0.00276888,0.000982805,0.323348,0.0962544,0.0962544,0.323348,4.17957,-11.3943,2,0,0.000246456,-0.725538,-0.243416,0,0,0.000242695,-0.728343,-0.244294,0,0,0,0,2196.45,0,0,100,
90.4,0,1.18021,72868.3,-3.89167,8.91684,0.0798686,31.1116,-45.9499,-0.0668075,1.48726,-13.7884,1.44403,-0.354336,0.321101,0.024738,0.316684,32105.6,8952.08,-1704.17,396.937,1704.17,32.6502,-47.2397,0.429481,0.113288,1110,0,250.005,0.703076,0,0,5.62209,0.0654714,2.48303,3,0,0.000358868,0.000175672,-0.0377647,0.0291117,0.0473884,2.48404,-0.00134903,0.00112935,0.494708,0.114169,0.114169,0.494708,4.17957,-11.3943,2,0,0.000244063,-0.751636,-0.243951,0,0,0.000247622,-0.743124,-0.243474,0,0,0,0,2157.07,0,0,100,
