1 input_2_1 AGM6 Test Case.asc  Feb 17 2025 12:34:45
  0  0 53
time,vmach_m1,psiblx_m1,thtblx_m1,phiblx_m1,SBEL1_m1,SBEL2_m1,SBEL3_m1,VBEL1_m1,VBEL2_m1,VBEL3_m1,mseek_m1,mach_t1,SAEL1_t1,SAEL2_t1,SAEL3_t1,VAEL1_t1,VAEL2_t1,VAEL3_t1,psivlx_t1,thtvlx_t1,alt_t1,aax_t1,alx_t1,anx_t1,mach_a1,SAEL1_a1,SAEL2_a1,SAEL3_a1,VAEL1_a1,VAEL2_a1,VAEL3_a1,psivlx_a1,thtvlx_a1,alt_a1,STCEL11_a1,STCEL12_a1,STCEL13_a1,VTCEL11_a1,VTCEL12_a1,VTCEL13_a1,STCEL21_a1,STCEL22_a1,STCEL23_a1,VTCEL21_a1,VTCEL22_a1,VTCEL23_a1,STCEL31_a1,STCEL32_a1,STCEL33_a1,VTCEL31_a1,VTCEL32_a1,VTCEL33_a1,
20,1.1325,2.97887,11.7949,0.0776335,6396.04,250.308,-6908.55,352.003,34.0897,-26.2797,2,0.0147099,33019.4,9902.55,-100,1.91383,-4.61927,0,-67.495,-0,100,0,0.01,1,0.947195,5890.66,0,-6903.97,296.153,0,4.95089,0,-0.957746,6903.97,33003.3,9913.87,-56.9854,1.76471,-4.24321,-0.780978,0,0,0,0,0,0,0,0,0,0,0,0,
21,1.14216,3.36681,11.914,0.090621,6749.38,285.687,-6936.04,354.669,36.6734,-28.6636,2,0.0147099,33021.3,9897.95,-100,2.00417,-4.5808,0,-66.3698,-0,100,0,0.01,1,0.947656,6186.9,0,-6899.02,296.316,0,4.95363,0,-0.957746,6899.02,33016.3,9918.96,-117.135,1.35743,-5.65661,0.516364,0,0,0,0,0,0,0,0,0,0,0,0,
22,1.15182,3.75297,12.0269,0.104467,7105.37,323.662,-6965.81,357.309,39.2805,-30.847,2,0.0147099,33023.4,9893.39,-100,2.09374,-4.54056,0,-65.2446,-0,100,0,0.01,1,0.948117,6483.3,0,-6894.06,296.48,0,4.95637,0,-0.957746,6894.06,33014.4,9922.88,-115.941,2.28125,-5.06868,-0.00912791,0,0,0,0,0,0,0,0,0,0,0,0,
23,1.16146,4.13711,12.12,0.117178,7463.98,364.259,-6997.68,359.916,41.9189,-32.8694,2,0.0147099,33025.5,9888.87,-100,2.18251,-4.49857,0,-64.1194,-0,100,0,0.01,1,0.948578,6779.86,0,-6889.1,296.644,0,4.95911,0,-0.957746,6889.1,33024.8,9907.89,-122.437,2.01675,-5.6723,0.153642,0,0,0,0,0,0,0,0,0,0,0,0,
24,1.17109,4.53154,12.1705,0.130927,7825.19,407.509,-7031.49,362.503,44.5902,-34.7075,2,0.0147099,33027.8,9884.39,-100,2.27043,-4.45484,0,-62.9942,-0,100,0,0.01,1,0.949039,7076.58,0,-6884.14,296.808,0,4.96184,0,-0.957746,6884.14,33027.3,9900.66,-125.208,1.4876,-4.98704,0.380632,0,0,0,0,0,0,0,0,0,0,0,0,
25,1.18074,4.92894,12.1825,0.142894,8188.99,453.458,-7067.03,365.081,47.3143,-36.3408,2,0.0147099,33030.1,9879.96,-100,2.35747,-4.4094,0,-61.869,-0,100,0,0.01,1,0.9495,7373.47,0,-6879.18,296.971,0,4.96458,0,-0.957746,6879.18,33026.1,9877.39,-88.1127,1.62804,-4.5623,0.867622,0,0,0,0,0,0,0,0,0,0,0,0,
26,1.19042,5.31567,12.2014,0.153397,8555.35,502.152,-7104.1,367.651,50.0789,-37.78,2,0.0147099,33032.5,9875.57,-100,2.44361,-4.36226,0,-60.7437,-0,100,0,0.01,1,0.949961,7670.53,0,-6874.21,297.135,0,4.96732,0,-0.957746,6874.21,33056.9,9856.67,-161.924,2.05205,-5.05725,-1.0836,0,0,0,0,0,0,0,0,0,0,0,0,
27,1.20009,5.71873,12.1867,0.167026,8924.28,553.626,-7142.54,370.204,52.8812,-39.0721,2,0.0147099,33035,9871.23,-100,2.5288,-4.31343,0,-59.6185,-0,100,0,0.01,1,0.950422,7967.74,0,-6869.25,297.299,0,4.97006,0,-0.957746,6869.25,33014.5,9897.14,-66.0594,2.11291,-3.50418,0.0656654,0,0,0,0,0,0,0,0,0,0,0,0,
28,1.2098,6.12119,12.1243,0.176943,9295.76,607.937,-7182.18,372.759,55.7491,-40.1602,2,0.0147099,33037.5,9866.94,-100,2.61302,-4.26294,0,-58.4933,-0,100,0,0.01,1,0.950882,8265.12,0,-6864.27,297.463,0,4.97279,0,-0.957746,6864.27,33018.5,9900.01,-81.5393,2.3543,-4.15083,-0.164154,0,0,0,0,0,0,0,0,0,0,0,0,
29,1.21958,6.4999,12.0305,0.183832,9669.8,665.135,-7222.79,375.327,58.6483,-41.0338,2,0.0147099,33040.2,9862.71,-100,2.69623,-4.21081,0,-57.3681,-0,100,0,0.01,1,0.951343,8562.67,0,-6859.3,297.626,0,4.97553,0,-0.957746,6859.3,33038.8,9843.19,-70.9783,2.5216,-4.54318,0.215156,0,0,0,0,0,0,0,0,0,0,0,0,
