1 input_arc.asc Arc-guidance, three waypoints ' Hypersonic Vehicle ' Jan 23 2025 14:46:05
  0  0 98
time,vmach,pdynmc,psibd,psibdx,thtbdx,phibdx,alppx,alphax,betax,alphaix,betaix,ppx,qqx,rrx,lonx,latx,alt,dvbe,dvbi,psivdx,thtvdx,dbi,ayx,anx,throttle,vmass,fmassr,thrustx,roll_count,pitch_count,yaw_count,stmarg,gavail_pos,gmax,gavail_neg,gminx,wnp,azabx,elabx,dab,ddab,semi_major,semi_minor,eaz,eel,edab,eddab,RICI1,RICI2,RICI3,ESBI1,ESBI2,ESBI3,aycomx,azcomx,tgoc,SBTHC1,SBTHC2,SBTHC3,UTBC1,UTBC2,UTBC3,lamd,SBTL1,SBTL2,SBTL3,delacx,delecx,delrcx,alcomx,ancomx,phicomx,delax,delex,delrx,elvlx,elvrx,miss,MISS_I1,MISS_I2,MISS_I3,event,dbt,MISS_H1,MISS_H2,MISS_H3,MISS_L1,MISS_L2,MISS_L3,SXH1,SXH2,SXH3,std_pos,std_ucbias,URIC1,URIC2,URIC3,
4,3.11147,180082,0.524129,30.0304,2.92897,0.0314811,3.04751,3.04291,0.000760077,3.01425,16.4004,0.0141885,0.28447,0.00387411,45.0208,35.0296,9981.92,932.225,1170.97,30.0295,-0.110266,6.38115e+06,0.000843437,1.58441,0.815042,135594,81162.8,4964.1,0,0,0,0.0388191,1.61391,3,-3.38609,-2,2.58989,0,0,0,0,0,0,0,0,0,0,-0.00104625,0.000155596,-0.000633322,9.76182,-4.01774,5.10917,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00581623,-4.74414,0.0183992,0,1.39034,0,0.00361902,-4.79286,0.0243216,-4.78924,-4.79648,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.2,3.11123,180061,0.524155,30.0318,2.98102,0.0333669,3.02586,3.02241,0.000864909,3.00553,16.4008,-0.0267511,0.211947,0.00526871,45.0219,35.0311,9981.68,932.158,1170.9,30.031,-0.0378178,6.38115e+06,0.000381671,1.56746,0.817522,135554,81123.1,4982.3,0,0,0,0.0388501,1.62973,3,-3.37027,-2,2.59067,0,0,0,0,0,0,0,0,0,0,-0.0010461,0.000155877,-0.000633325,9.76662,-4.00162,5.11143,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00641744,-4.39525,0.0316863,0,1.33625,0,-0.0202884,-4.44261,0.0293874,-4.4629,-4.42232,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.4,3.11107,180042,0.52418,30.0333,3.01864,0.0333645,2.99266,2.99021,0.000909977,2.98522,16.401,0.0148565,0.14069,0.00422389,45.0229,35.0325,9981.67,932.109,1170.86,30.0326,0.0318182,6.38115e+06,-5.4339e-05,1.53636,0.819819,135514,81083.4,4997.47,0,0,0,0.0389013,1.65892,3,-3.34108,-2,2.59181,0,0,0,0,0,0,0,0,0,0,-0.00104597,0.000156152,-0.000633302,9.77143,-3.98589,5.11387,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265755,-4.0855,0.0194357,0,1.27852,0,-0.0148361,-4.11356,0.0160858,-4.1284,-4.09872,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.6,3.11097,180024,0.524207,30.0349,3.04233,0.0314782,2.95022,2.94871,0.000745,2.95536,16.4007,0.00889386,0.0748243,0.0039743,45.0239,35.034,9981.89,932.076,1170.83,30.0341,0.0967313,6.38115e+06,0.000955866,1.48914,0.821112,135475,81043.5,5002.74,0,0,0,0.0389719,1.70329,3,-3.29671,-2,2.59335,0,0,0,0,0,0,0,0,0,0,-0.00104586,0.000156424,-0.000633253,9.77627,-3.97055,5.11647,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00271756,-3.94736,0.0198387,0,1.21902,0,0.00718717,-3.97423,0.0258045,-3.96704,-3.98141,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.8,3.11093,180009,0.524233,30.0363,3.05366,0.0335992,2.90151,2.90088,0.000874527,2.91698,16.4005,-0.023649,0.0162102,0.00520383,45.0249,35.0354,9982.3,932.06,1170.82,30.0356,0.155562,6.38115e+06,0.000268868,1.43548,0.822282,135435,81003.7,5006.15,0,0,0,0.0390537,1.75369,3,-3.24631,-2,2.59508,0,0,0,0,0,0,0,0,0,0,-0.00104577,0.000156695,-0.000633195,9.78114,-3.95559,5.11923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011906,-3.73583,0.0307012,0,1.15937,0,-0.0237458,-3.76011,0.027797,-3.78386,-3.73637,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,3.11094,179995,0.524258,30.0378,3.0536,0.0331857,2.84828,2.84847,0.000889591,2.8736,16.4,0.0167149,-0.0376954,0.00409484,45.026,35.0369,9982.89,932.057,1170.82,30.0371,0.207557,6.38115e+06,-6.27943e-05,1.3753,0.823352,135395,80963.9,5008.12,0,0,0,0.0391438,1.8103,3,-3.1897,-2,2.59696,0,0,0,0,0,0,0,0,0,0,-0.0010457,0.000156962,-0.000633114,9.78606,-3.941,5.12213,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230594,-3.59784,0.0180606,0,1.10073,0,-0.0134842,-3.617,0.0151355,-3.63049,-3.60352,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.2,3.11101,179982,0.524285,30.0393,3.0434,0.0315278,2.79238,2.79335,0.000738043,2.82661,16.3991,0.00134003,-0.084897,0.004148,45.027,35.0383,9983.64,932.068,1170.83,30.0386,0.252093,6.38115e+06,0.00105064,1.31181,0.824335,135355,80924.1,5009.03,0,0,0,0.0392389,1.87005,3,-3.12995,-2,2.59892,0,0,0,0,0,0,0,0,0,0,-0.00104563,0.000157226,-0.000633015,9.79105,-3.92679,5.12515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136554,-3.46227,0.0218781,0,1.04422,0,0.01122,-3.47949,0.0273423,-3.46827,-3.49071,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.4,3.11112,179971,0.524309,30.0407,3.02427,0.033788,2.73535,2.73705,0.000883985,2.77597,16.3984,-0.018913,-0.12619,0.00510839,45.028,35.0398,9984.53,932.09,1170.85,30.0401,0.288874,6.38115e+06,0.000160408,1.24652,0.825236,135315,80884.3,5009.09,0,0,0,0.0393363,1.93155,3,-3.06845,-2,2.60091,0,0,0,0,0,0,0,0,0,0,-0.00104559,0.00015749,-0.000632911,9.79612,-3.91294,5.1283,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172775,-3.3596,0.0293126,0,0.990721,0,-0.0268826,-3.37261,0.0260146,-3.39949,-3.34573,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.6,3.11127,179961,0.524335,30.0422,2.99747,0.0329832,2.67859,2.68095,0.000869761,2.72509,16.3974,0.0187884,-0.161094,0.00397108,45.029,35.0412,9985.52,932.122,1170.88,30.0416,0.317778,6.38115e+06,-4.73122e-05,1.18121,0.826054,135275,80844.5,5008.51,0,0,0,0.0394337,1.99309,3,-3.00691,-2,2.60291,0,0,0,0,0,0,0,0,0,0,-0.00104555,0.00015775,-0.000632789,9.80128,-3.89944,5.13155,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149266,-3.27432,0.0167603,0,0.940995,0,-0.0132214,-3.285,0.0145428,-3.29822,-3.27177,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.8,3.11145,179953,0.524361,30.0437,2.96423,0.031635,2.62326,2.62621,0.000737257,2.67441,16.3961,-0.00710501,-0.189984,0.004349,45.03,35.0427,9986.59,932.162,1170.92,30.043,0.338888,6.38115e+06,0.00108739,1.11725,0.826784,135236,80804.7,5007.38,0,0,0,0.0395291,2.0534,3,-2.9466,-2,2.60486,0,0,0,0,0,0,0,0,0,0,-0.00104552,0.000158009,-0.000632655,9.80657,-3.88629,5.1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055051,-3.2124,0.0239541,0,0.89563,0,0.0140104,-3.21989,0.0285465,-3.20588,-3.2339,0,0,0,0,25002,6.38115e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
