1 input_climb.asc HYPER3 Two-phased climb  ' HYPER3 ' Dec 31 2024 09:11:24
  0  0 23
time,FSPV1,FSPV2,FSPV3,pdynmc,mach,lonx,latx,alt,dvbe,psivgx,thtvgx,SBEG1,SBEG2,SBEG3,VBEG1,VBEG2,VBEG3,throttle,mass,thrust,fmassr,cl_ov_cd,
8.8,-1.63754,0,-14.4594,19703.4,0.647245,-80.5295,28.43,3333.63,211.766,90.0764,17.6912,-1.27407,2003.33,-333.627,-0.269179,201.751,-64.3528,0.2,135910,256768,81479.3,4.05078,
9,-1.59423,0,-14.3137,19506.1,0.64453,-80.5291,28.43,3346.57,210.844,90.0782,17.9682,-1.32838,2043.56,-346.567,-0.273895,200.561,-65.0431,0.2,135906,256759,81475.5,4.05938,
9.2,-1.55138,0,-14.1688,19309.7,0.641815,-80.5287,28.43,3359.64,209.922,90.0801,18.2392,-1.38362,2083.55,-359.642,-0.278556,199.375,-65.7026,0.2,135903,256732,81471.6,4.06801,
9.4,-1.50898,0,-14.0246,19114.2,0.639099,-80.5283,28.43,3372.85,209,90.0819,18.5043,-1.4398,2123.31,-372.846,-0.283161,198.195,-66.3317,0.2,135899,256690,81467.7,4.07667,
9.6,-1.46705,0,-13.8811,18919.8,0.636384,-80.5279,28.43,3386.17,208.078,90.0837,18.7635,-1.49688,2162.83,-386.173,-0.287713,197.019,-66.9308,0.2,135895,256631,81463.9,4.08536,
9.8,-1.42559,0,-13.7384,18726.3,0.633668,-80.5274,28.43,3399.62,207.156,90.0855,19.0166,-1.55488,2202.12,-399.616,-0.292212,195.85,-67.5002,0.2,135891,256555,81460,4.09408,
10,-1.3846,0,-13.5965,18533.9,0.630953,-80.5271,28.43,3413.17,206.234,90.0873,19.2638,-1.61377,2241.17,-413.171,-0.296659,194.687,-68.0403,0.2,135887,256464,81456.1,4.10283,
10.2,48.2259,0,-5.10653,19945.8,0.655125,-80.5266,28.43,3426.98,214.597,90.0891,19.0716,-1.67487,2280.86,-426.976,-0.315445,202.818,-70.1194,2,135855,6.94691e+06,81424.4,1.00562,
10.4,46.7985,0,-5.2877,21603.1,0.682422,-80.5262,28.43,3441.21,223.467,90.0909,18.8617,-1.73996,2322.29,-441.214,-0.335469,211.467,-72.2438,2,135822,6.79109e+06,81391,0.985075,
10.6,45.1604,0,-5.45937,23262.9,0.708818,-80.5258,28.43,3455.87,232.037,90.0927,18.6683,-1.80905,2365.43,-455.867,-0.35548,219.829,-74.2725,2,135789,6.60777e+06,81358.5,0.965751,
10.8,43.3474,0,-5.62094,24910.1,0.734194,-80.5253,28.43,3470.92,240.267,90.0944,18.4894,-1.88214,2410.2,-470.916,-0.375389,227.865,-76.1956,2,135758,6.40143e+06,81326.8,0.947658,
11,41.3966,0,-5.772,26530.6,0.758449,-80.5248,28.43,3486.34,248.125,90.0961,18.3233,-1.9592,2456.55,-486.338,-0.39512,235.544,-78.0054,2,135727,6.17674e+06,81296.3,0.93079,
11.2,39.3453,0,-5.91233,28111.3,0.781509,-80.5244,28.43,3502.11,255.588,90.0978,18.1686,-2.04018,2504.39,-502.11,-0.414604,242.845,-79.6961,2,135698,5.93837e+06,81266.8,0.915126,
11.4,37.4281,0,-6.07449,29641.2,0.803325,-80.5239,28.43,3518.21,262.642,90.0995,18.024,-2.12502,2553.66,-518.208,-0.433786,249.753,-81.2653,2,135669,5.72187e+06,81238.5,0.899716,
11.6,36.5184,0,-6.41223,31145,0.824321,-80.5233,28.43,3534.61,269.434,90.1012,17.8941,-2.21368,2604.28,-534.614,-0.452868,256.4,-82.7861,2,135642,5.66545e+06,81210.7,0.881124,
11.8,35.531,0,-6.75554,32638.5,0.844762,-80.5228,28.43,3551.32,276.041,90.1029,17.7815,-2.30617,2656.21,-551.322,-0.471947,262.854,-84.2997,2,135614,5.60096e+06,81183.3,0.864521,
12,34.4762,0,-7.10265,34114.7,0.8646,-80.5223,28.43,3568.33,282.447,90.1045,17.6855,-2.40246,2709.4,-568.333,-0.49098,269.097,-85.8052,2,135587,5.52937e+06,81156.1,0.849641,
12.2,33.3644,0,-7.45171,35566.9,0.883796,-80.5217,28.43,3585.64,288.639,90.1062,17.6055,-2.50255,2763.83,-585.644,-0.509927,275.119,-87.302,2,135560,5.45167e+06,81129.3,0.83626,
12.4,32.2089,0,-7.86487,36989.1,0.902316,-80.5211,28.43,3603.25,294.606,90.1078,17.5409,-2.60642,2819.44,-603.253,-0.528749,280.907,-88.7901,2,135534,5.37608e+06,81102.9,0.82685,
12.6,31.0254,0,-8.72531,38375.9,0.920137,-80.5206,28.43,3621.16,300.341,90.1095,17.503,-2.71404,2876.18,-621.164,-0.547378,286.435,-90.3292,2,135508,5.3458e+06,81076.7,0.835144,
12.8,29.8029,0,-9.59607,39721.8,0.937235,-80.52,28.43,3639.39,305.836,90.1111,17.4985,-2.82536,2933.99,-639.391,-0.565753,291.683,-91.9592,2,135482,5.31183e+06,81050.6,0.841904,
13,28.6174,0,-10.3844,41021.7,0.953589,-80.5194,28.43,3657.95,311.085,90.1128,17.5263,-2.94032,2992.83,-657.953,-0.583839,296.643,-93.681,2,135456,5.28219e+06,81024.7,0.83969,
